"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b0",1758.371296,1758.29,1757.32634535321,15000,0.95,1468.51,2047.74,NA,NA,NA,NA,NA,NA,NA
"b1[1] Hue",-1040.6201856,-1043.02,-1053.83751056788,13407.6,0.95,-1444.69,-622.766,NA,NA,NA,NA,NA,NA,NA
"b1[2] Length",518.108047134067,518.8945,529.176293667835,15000,0.95,111.682,910.377,NA,NA,NA,NA,NA,NA,NA
"b1[3] Shape",522.512127814967,521.8605,497.110032556345,15000,0.95,120.868,919.734,NA,NA,NA,NA,NA,NA,NA
"b2[1] 12",-1003.14511356667,-1001.65,-1001.39956737763,15672.5,0.95,-1504.76,-530.76,NA,NA,NA,NA,NA,NA,NA
"b2[2] 48",-759.77689094,-760.219,-752.964643503408,14439.5,0.95,-1276.16,-279.226,NA,NA,NA,NA,NA,NA,NA
"b2[3] 192",-282.849135055133,-283.68,-291.643507009175,15759.3,0.95,-751.244,223.42,NA,NA,NA,NA,NA,NA,NA
"b2[4] 768",2045.77120946667,2048.705,2074.89793186701,13025.8,0.95,1531.4,2534.26,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,1] Hue 12",732.7596877214,728.225,716.133717694285,13549.2,0.95,84.0679,1410.4,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,1] Length 12",-511.000602108533,-508.0955,-506.199035022011,14335.6,0.95,-1174.14,137.627,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,1] Shape 12",-221.759086583833,-221.208,-214.287400023362,15000,0.95,-846.255,421.322,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,2] Hue 48",575.92787915372,574.9045,588.325612335761,14154,0.95,-47.8859,1256.95,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,2] Length 48",-382.440257281093,-377.6215,-352.500720478868,14265.1,0.95,-1031.31,262.523,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,2] Shape 48",-193.487622807993,-192.9675,-196.838458160742,15000,0.95,-855.661,443.466,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,3] Hue 192",166.032066924627,163.9015,129.173207772777,14383.6,0.95,-454.056,816.068,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,3] Length 192",-275.25705158522,-272.483,-274.951022021901,15000,0.95,-932.991,357.494,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,3] Shape 192",109.22498214944,107.028,93.4338667872469,15000,0.95,-564.153,720.91,NA,NA,NA,NA,NA,NA,NA
"b1b2[1,4] Hue 768",-1474.7196225,-1478.145,-1505.3491519996,9427.2,0.95,-2231.42,-747.718,NA,NA,NA,NA,NA,NA,NA
"b1b2[2,4] Length 768",1168.69789044,1166.95,1138.49528203979,11166.1,0.95,448.438,1874.96,NA,NA,NA,NA,NA,NA,NA
"b1b2[3,4] Shape 768",306.02173326168,300.2685,276.286546591638,15118.8,0.95,-351.769,939.762,NA,NA,NA,NA,NA,NA,NA
"m[1,1] Hue 12",447.365612826707,442.754,391.675251703863,15000,0.95,-510.2,1426.3,NA,NA,NA,NA,NA,NA,NA
"m[2,1] Length 12",762.333567735,767.0975,824.608731927201,15000,0.95,-188.546,1700.82,NA,NA,NA,NA,NA,NA,NA
"m[3,1] Shape 12",1055.97918732027,1058.23,1042.99025848706,15000,0.95,94.1277,1969.04,NA,NA,NA,NA,NA,NA,NA
"m[1,2] Hue 48",533.902061083307,533.786,582.547099661504,15000,0.95,-420.597,1484.51,NA,NA,NA,NA,NA,NA,NA
"m[2,2] Length 48",1134.262151376,1134.72,1148.92168415367,14468.4,0.95,120.979,2075.54,NA,NA,NA,NA,NA,NA,NA
"m[3,2] Shape 48",1327.61884198733,1324.17,1304.33785605569,15000,0.95,348.589,2268,NA,NA,NA,NA,NA,NA,NA
"m[1,3] Hue 192",600.934018499467,600.402,626.4238965569,15085,0.95,-328.954,1552.6,NA,NA,NA,NA,NA,NA,NA
"m[2,3] Length 192",1718.37311484,1725.745,1761.97196649521,15000,0.95,778.596,2651.9,NA,NA,NA,NA,NA,NA,NA
"m[3,3] Shape 192",2107.25922366667,2110.99,2173.17259380443,15489.3,0.95,1161.75,3061.93,NA,NA,NA,NA,NA,NA,NA
"m[1,4] Hue 768",1288.80268110427,1286.15,1274.46402340933,10460,0.95,267.533,2305.17,NA,NA,NA,NA,NA,NA,NA
"m[2,4] Length 768",5490.94840866667,5494.665,5501.46486703702,13526.3,0.95,4449.51,6458.52,NA,NA,NA,NA,NA,NA,NA
"m[3,4] Shape 768",4632.676328,4632.54,4595.54449492869,14134.1,0.95,3681.06,5609.4,NA,NA,NA,NA,NA,NA,NA
"ySigma",2844.40883933333,2840.4,2832.5760878458,15000,0.95,2631.01,3047.78,NA,NA,NA,NA,NA,NA,NA
