PID,BlockName,ReactionTime,ReactionTimeLog,Feature,ElemNum,SpatialPattern,IsCorrect,TrialNum,TargetRegion,CenterOrPeriph,Target2CenterDis
6,Length_48_Gridded,1407.0,3.1482940974347455,Length,48,Gridded,yes,9,5,Periphery,0.525478409
6,Length_48_Gridded,1054.0,3.022840610876528,Length,48,Gridded,yes,11,6,Periphery,0.568591401
6,Length_48_Gridded,972.0,2.9876662649262746,Length,48,Gridded,yes,15,8,Periphery,0.528879396
6,Length_48_Gridded,509.0,2.7067177823367587,Length,48,Gridded,yes,1,1,Center,0.105095682
6,Length_48_Gridded,549.0,2.739572344450092,Length,48,Gridded,yes,5,3,Center,0.105095682
6,Length_48_Gridded,668.0,2.824776462475546,Length,48,Gridded,yes,6,3,Center,0.233726055
6,Length_48_Gridded,412.0,2.6148972160331345,Length,48,Gridded,yes,2,1,Center,0.105095682
6,Length_48_Gridded,553.0,2.7427251313046983,Length,48,Gridded,yes,3,2,Center,0.236269241
6,Length_48_Gridded,1997.0,3.3003780648707024,Length,48,Gridded,yes,4,2,Center,0.236269241
6,Length_48_Gridded,761.0,2.8813846567705728,Length,48,Gridded,yes,14,7,Periphery,0.431939178
6,Length_48_Gridded,1436.0,3.1571544399062814,Length,48,Gridded,yes,10,5,Periphery,0.431939178
6,Length_48_Gridded,886.0,2.9474337218870508,Length,48,Gridded,yes,13,7,Periphery,0.376554646
6,Length_48_Gridded,1398.0,3.1455071714096627,Length,48,Gridded,yes,8,4,Center,0.236269241
6,Length_48_Gridded,1617.0,3.208710019906401,Length,48,Gridded,yes,12,6,Periphery,0.528879396
6,Length_48_Gridded,824.0,2.9159272116971158,Length,48,Gridded,yes,16,8,Periphery,0.568591401
6,Length_48_Gridded,685.0,2.8356905714924254,Length,48,Gridded,yes,7,4,Center,0.236269241
6,Hue_48_Gridded,405.0,2.6074550232146687,Hue,48,Gridded,yes,3,2,Center,0.236269241
6,Hue_48_Gridded,493.0,2.69284691927723,Hue,48,Gridded,yes,16,8,Periphery,0.381286321
6,Hue_48_Gridded,582.0,2.7649229846498886,Hue,48,Gridded,yes,4,2,Center,0.236269241
6,Hue_48_Gridded,1894.0,3.2773799746672547,Hue,48,Gridded,yes,9,5,Periphery,0.525478409
6,Hue_48_Gridded,490.0,2.690196080028514,Hue,48,Gridded,yes,11,6,Periphery,0.381286321
6,Hue_48_Gridded,639.0,2.8055008581584002,Hue,48,Gridded,yes,5,3,Center,0.233726055
6,Hue_48_Gridded,561.0,2.7489628612561616,Hue,48,Gridded,yes,6,3,Center,0.233726055
6,Hue_48_Gridded,651.0,2.813580988568192,Hue,48,Gridded,yes,15,8,Periphery,0.640672861
6,Hue_48_Gridded,1253.0,3.09795107099415,Hue,48,Gridded,yes,7,4,Center,0.236269241
6,Hue_48_Gridded,481.0,2.682145076373832,Hue,48,Gridded,yes,2,1,Center,0.233726055
6,Hue_48_Gridded,457.0,2.6599162000698504,Hue,48,Gridded,yes,12,6,Periphery,0.528879396
6,Hue_48_Gridded,723.0,2.859138297294531,Hue,48,Gridded,yes,10,5,Periphery,0.315287045
6,Hue_48_Gridded,650.0,2.8129133566428557,Hue,48,Gridded,yes,13,7,Periphery,0.315287045
6,Hue_48_Gridded,3926.0,3.5939502952639875,Hue,48,Gridded,yes,14,7,Periphery,0.315287045
