Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
b0	3.0082546172	3.00825	3.00766389905573	24110.4	0.95	2.99409	3.0219	NA	NA	NA	NA	NA	NA	NA
b1[1] Gridded	-0.051850611476	-0.0518637	-0.0515573052851976	12419.9	0.95	-0.0654246	-0.0384779	NA	NA	NA	NA	NA	NA	NA
b1[2] Random	0.051850611476	0.0518637	0.0515573052851976	12419.9	0.95	0.0384779	0.0654246	NA	NA	NA	NA	NA	NA	NA
b2[1] Center	-0.084008929978	-0.08401555	-0.0837446250665302	11195.7	0.95	-0.0975399	-0.0708232	NA	NA	NA	NA	NA	NA	NA
b2[2] Periphery	0.084008929978	0.08401555	0.0837446250665302	11195.7	0.95	0.0708232	0.0975399	NA	NA	NA	NA	NA	NA	NA
b3[1]	-0.344184698	-0.344153	-0.34429410975253	17110.2	0.95	-0.361417	-0.327026	NA	NA	NA	NA	NA	NA	NA
b3[2]	0.071335504238	0.0713169	0.0705516368574713	14359.1	0.95	0.0530735	0.0898844	NA	NA	NA	NA	NA	NA	NA
b3[3]	0.27284919556	0.272826	0.273116950567243	17365.2	0.95	0.251271	0.29494	NA	NA	NA	NA	NA	NA	NA
b4[1]	-0.19506980956	-0.1950605	-0.193914289161867	19432	0.95	-0.213466	-0.177268	NA	NA	NA	NA	NA	NA	NA
b4[2]	-0.084810920468	-0.08477385	-0.0840141294117986	23581.8	0.95	-0.105369	-0.0638125	NA	NA	NA	NA	NA	NA	NA
b4[3]	0.0594779777634	0.0594717	0.0594567857436515	16800.7	0.95	0.0354163	0.0838278	NA	NA	NA	NA	NA	NA	NA
b4[4]	0.22040275048	0.2203015	0.219574593917304	21225.8	0.95	0.191763	0.249302	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,1,1,1]	0.219578116136	0.219522	0.220226436815969	21293	0.95	0.172187	0.267775	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,1,1,1]	0.22078697827	0.220792	0.219315880251064	27037.5	0.95	0.167062	0.271994	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[1,2,1,1]	0.088053479974202	0.0880514	0.0876271536252985	26947.7	0.95	0.0324112	0.142441	NA	NA	NA	NA	NA	NA	NA
b1b2b3b4[2,2,1,1]	0.0615775244463758	0.0614729	0.062576461790366	26382	0.95	0.00865028	0.11649	NA	NA	NA	NA	NA	NA	NA
