Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
b0	2.65787425559552	2.65772	2.65723691009719	7320	0.95	2.64172	2.67437	NA	NA	NA	NA	NA	NA	NA
b1[1] 12	-0.0381571023309352	-0.0380309	-0.036850526700366	4006.9	0.95	-0.0619895	-0.013421	NA	NA	NA	NA	NA	NA	NA
b1[2] 48	0.0102765673532554	0.0102446	0.0105363476228404	8357.6	0.95	-0.0161275	0.0360898	NA	NA	NA	NA	NA	NA	NA
b1[3] 192	-0.0203344263786454	-0.02027635	-0.0204093209591904	6449.1	0.95	-0.0443896	0.00385162	NA	NA	NA	NA	NA	NA	NA
b1[4] 768	0.0482149611534572	0.048079	0.0467247387994536	3180.1	0.95	0.0127838	0.0830936	NA	NA	NA	NA	NA	NA	NA
b2[1] Gridded	-0.0112257321419255	-0.0110765	-0.0102307813832125	5806.6	0.95	-0.028511	0.00330299	NA	NA	NA	NA	NA	NA	NA
b2[2] Random	0.0112257321419255	0.0110765	0.0102307813832125	5806.6	0.95	-0.00330299	0.028511	NA	NA	NA	NA	NA	NA	NA
b1b2[1,1] 12 Gridded	-0.0303779719732354	-0.03033425	-0.0325214890680068	2127.7	0.95	-0.0539545	-0.00599538	NA	NA	NA	NA	NA	NA	NA
b1b2[2,1] 48 Gridded	-0.0133245497188129	-0.01300765	-0.0109613812912898	4529.1	0.95	-0.0387643	0.0101754	NA	NA	NA	NA	NA	NA	NA
b1b2[3,1] 192 Gridded	0.0251701646299001	0.0249483	0.0273280029292622	4029.9	0.95	0.00300313	0.0491386	NA	NA	NA	NA	NA	NA	NA
b1b2[4,1] 768 Gridded	0.0185323570428967	0.0179825	0.0179766708281867	2443.1	0.95	-0.012102	0.0506993	NA	NA	NA	NA	NA	NA	NA
b1b2[1,2] 12 Random	0.0303779719732354	0.03033425	0.0325214890680068	2127.7	0.95	0.00599538	0.0539545	NA	NA	NA	NA	NA	NA	NA
b1b2[2,2] 48 Random	0.0133245497188129	0.01300765	0.0109613812912898	4529.1	0.95	-0.0101754	0.0387643	NA	NA	NA	NA	NA	NA	NA
b1b2[3,2] 192 Random	-0.0251701646299001	-0.0249483	-0.0273280029292622	4029.9	0.95	-0.0491386	-0.00300313	NA	NA	NA	NA	NA	NA	NA
b1b2[4,2] 768 Random	-0.0185323570428967	-0.0179825	-0.0179766708281867	2443.1	0.95	-0.0506993	0.012102	NA	NA	NA	NA	NA	NA	NA
m[1,1] 12 Gridded	2.57811349520384	2.57773	2.57647419848836	3498.4	0.95	2.54203	2.61517	NA	NA	NA	NA	NA	NA	NA
m[2,1] 48 Gridded	2.64360058852918	2.64364	2.64408737820915	7640.3	0.95	2.60512	2.67987	NA	NA	NA	NA	NA	NA	NA
m[3,1] 192 Gridded	2.65148433153477	2.651295	2.65172640019621	6160.7	0.95	2.61508	2.68892	NA	NA	NA	NA	NA	NA	NA
m[4,1] 768 Gridded	2.71339587430056	2.71332	2.71348377758486	2792.1	0.95	2.65288	2.779	NA	NA	NA	NA	NA	NA	NA
m[1,2] 12 Random	2.66132083733014	2.661455	2.66125438035629	5880.1	0.95	2.62639	2.69636	NA	NA	NA	NA	NA	NA	NA
m[2,2] 48 Random	2.69270111710631	2.69238	2.69132007077656	6316.7	0.95	2.64924	2.7355	NA	NA	NA	NA	NA	NA	NA
