Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
b0	3.0934845564	3.09349	3.09408551969198	23260.8	0.95	3.06814	3.11875	NA	NA	NA	NA	NA	NA	NA
b1[1] 12	-0.29878978666	-0.298831	-0.299343707773504	22883.9	0.95	-0.328387	-0.268554	NA	NA	NA	NA	NA	NA	NA
b1[2] 48	-0.150393801202	-0.1503285	-0.148359720949867	33484.3	0.95	-0.18654	-0.113049	NA	NA	NA	NA	NA	NA	NA
b1[3] 192	0.08113068955184	0.0810929	0.0818864926294463	36535.8	0.95	0.0350743	0.125736	NA	NA	NA	NA	NA	NA	NA
b1[4] 768	0.3680529014	0.368193	0.365541434724461	17604.1	0.95	0.31161	0.425038	NA	NA	NA	NA	NA	NA	NA
b2[1] Gridded	-0.117516428738	-0.117604	-0.117949909788104	11685.6	0.95	-0.142272	-0.092073	NA	NA	NA	NA	NA	NA	NA
b2[2] Random	0.117516428738	0.117604	0.117949909788104	11685.6	0.95	0.092073	0.142272	NA	NA	NA	NA	NA	NA	NA
b1b2[1,1] 12 Gridded	0.105946593382	0.105962	0.105528833867857	11826.8	0.95	0.0764011	0.13607	NA	NA	NA	NA	NA	NA	NA
b1b2[2,1] 48 Gridded	0.0440903081319498	0.0440074	0.0447057735909076	20026	0.95	0.00681205	0.0797272	NA	NA	NA	NA	NA	NA	NA
b1b2[3,1] 192 Gridded	-0.00297442581123724	-0.00295099	-0.00262894583760911	27083.2	0.95	-0.046772	0.0424067	NA	NA	NA	NA	NA	NA	NA
b1b2[4,1] 768 Gridded	-0.14706247971	-0.1469975	-0.14711369833172	9809.3	0.95	-0.20447	-0.0912299	NA	NA	NA	NA	NA	NA	NA
b1b2[1,2] 12 Random	-0.105946593382	-0.105962	-0.105528833867857	11826.8	0.95	-0.13607	-0.0764011	NA	NA	NA	NA	NA	NA	NA
b1b2[2,2] 48 Random	-0.0440903081319498	-0.0440074	-0.0447057735909076	20026	0.95	-0.0797272	-0.00681205	NA	NA	NA	NA	NA	NA	NA
b1b2[3,2] 192 Random	0.00297442581123724	0.00295099	0.00262894583760911	27083.2	0.95	-0.0424067	0.046772	NA	NA	NA	NA	NA	NA	NA
b1b2[4,2] 768 Random	0.14706247971	0.1469975	0.14711369833172	9809.3	0.95	0.0912299	0.20447	NA	NA	NA	NA	NA	NA	NA
m[1,1] 12 Gridded	2.7831249054	2.78295	2.78321334016179	33003.9	0.95	2.74452	2.82057	NA	NA	NA	NA	NA	NA	NA
m[2,1] 48 Gridded	2.8696646434	2.8696	2.86823213702683	39372.5	0.95	2.82506	2.91345	NA	NA	NA	NA	NA	NA	NA
m[3,1] 192 Gridded	3.0541243664	3.05425	3.05576690137731	37558.9	0.95	2.98767	3.1184	NA	NA	NA	NA	NA	NA	NA
m[4,1] 768 Gridded	3.1969585694	3.19672	3.19248731646339	23891.9	0.95	3.12618	3.26685	NA	NA	NA	NA	NA	NA	NA
m[1,2] 12 Random	2.8062645944	2.80627	2.80644917047417	41367.8	0.95	2.78015	2.83391	NA	NA	NA	NA	NA	NA	NA
m[2,2] 48 Random	3.0165168832	3.016405	3.01565250041096	32635.2	0.95	2.95531	3.07783	NA	NA	NA	NA	NA	NA	NA
