Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE
b0	3.30166807653877	3.30171	3.30593417143309	7585.8	0.95	3.26761	3.33472	NA	NA	NA	NA	NA	NA	NA
b1[1] 12	-0.265584567645883	-0.2655525	-0.265253573538844	6789.9	0.95	-0.310478	-0.223121	NA	NA	NA	NA	NA	NA	NA
b1[2] 48	-0.117571454576339	-0.1176065	-0.120522416839197	6377.9	0.95	-0.168356	-0.0608605	NA	NA	NA	NA	NA	NA	NA
b1[3] 192	0.144025776807554	0.143972	0.143028189953116	7066.5	0.95	0.0819062	0.20738	NA	NA	NA	NA	NA	NA	NA
b1[4] 768	0.239130243005596	0.239357	0.245818846328722	6230	0.95	0.166588	0.310129	NA	NA	NA	NA	NA	NA	NA
b2[1] Gridded	-0.0245841635589938	-0.0241374	-0.0220309068384688	1732.4	0.95	-0.0558192	0.00775133	NA	NA	NA	NA	NA	NA	NA
b2[2] Random	0.0245841635589938	0.0241374	0.0220309068384688	1732.4	0.95	-0.00775133	0.0558192	NA	NA	NA	NA	NA	NA	NA
b1b2[1,1] 12 Gridded	0.0102863234330324	0.007173605	0.00061913207683878	1137.7	0.95	-0.0223251	0.0503167	NA	NA	NA	NA	NA	NA	NA
b1b2[2,1] 48 Gridded	0.0153063476605	0.0111253	0.00114519381576636	728.5	0.95	-0.0215534	0.0631818	NA	NA	NA	NA	NA	NA	NA
b1b2[3,1] 192 Gridded	-0.0124321125440489	-0.00834864	-0.000612412613683694	1285.1	0.95	-0.0619474	0.0318381	NA	NA	NA	NA	NA	NA	NA
b1b2[4,1] 768 Gridded	-0.0131605585309547	-0.00796083	-0.000998532978949279	1057.9	0.95	-0.067944	0.032008	NA	NA	NA	NA	NA	NA	NA
b1b2[1,2] 12 Random	-0.0102863234330324	-0.007173605	-0.00061913207683878	1137.7	0.95	-0.0503167	0.0223251	NA	NA	NA	NA	NA	NA	NA
b1b2[2,2] 48 Random	-0.0153063476605	-0.0111253	-0.00114519381576636	728.5	0.95	-0.0631818	0.0215534	NA	NA	NA	NA	NA	NA	NA
b1b2[3,2] 192 Random	0.0124321125440489	0.00834864	0.000612412613683708	1285.1	0.95	-0.0318381	0.0619474	NA	NA	NA	NA	NA	NA	NA
b1b2[4,2] 768 Random	0.0131605585309547	0.00796083	0.000998532978949293	1057.9	0.95	-0.032008	0.067944	NA	NA	NA	NA	NA	NA	NA
m[1,1] 12 Gridded	3.02178566746603	3.02157	3.02024745788141	5244.7	0.95	2.9686	3.07845	NA	NA	NA	NA	NA	NA	NA
m[2,1] 48 Gridded	3.17481881694644	3.17393	3.17612035813024	4064.3	0.95	3.09533	3.25754	NA	NA	NA	NA	NA	NA	NA
m[3,1] 192 Gridded	3.40867764788169	3.410335	3.40950407449216	1616.8	0.95	3.3074	3.51588	NA	NA	NA	NA	NA	NA	NA
m[4,1] 768 Gridded	3.50305362709832	3.504055	3.50242177057783	2033.8	0.95	3.38831	3.61563	NA	NA	NA	NA	NA	NA	NA
m[1,2] 12 Random	3.05038141686651	3.05065	3.05732731959261	7546.9	0.95	2.99929	3.10144	NA	NA	NA	NA	NA	NA	NA
