	Mean	Median	Mode	ESS	HDImass	HDIlow	HDIhigh	CompVal	PcntGtCompVal	ROPElow	ROPEhigh	PcntLtROPE	PcntInROPE	PcntGtROPE	Reaction Time
b0	3.008395976	3.008245	3.006806343	4576	0.95	2.99486	3.02251	NA	NA	NA	NA	NA	NA	NA	1019.520532
b1[1] Gridded	-0.051905896	-0.051887	-0.050828851	3297.1	0.95	-0.0654131	-0.0385094	NA	NA	NA	NA	NA	NA	NA	-114.7460881
b1[2] Random	0.051905896	0.051887	0.050828851	3297.1	0.95	0.0385094	0.0654131	NA	NA	NA	NA	NA	NA	NA	129.3134756
b2[1] Center	-0.083961855	-0.0838316	-0.082847528	2403.9	0.95	-0.0972425	-0.0697237	NA	NA	NA	NA	NA	NA	NA	-179.0576661
b2[2] Periphery	0.083961855	0.0838316	0.082847528	2403.9	0.95	0.0697237	0.0972425	NA	NA	NA	NA	NA	NA	NA	217.2474933
b3[1] Hue	-0.344452012	-0.3444905	-0.345743653	3942	0.95	-0.361686	-0.327808	NA	NA	NA	NA	NA	NA	NA	-557.7537014
b3[2] Length	0.071806274	0.0718133	0.07238647	2951.2	0.95	0.0531217	0.0901905	NA	NA	NA	NA	NA	NA	NA	183.1368713
b3[3] Shape	0.272645739	0.2727015	0.2738408	3038.1	0.95	0.251274	0.293975	NA	NA	NA	NA	NA	NA	NA	889.7046086
b4[1] 12	-0.195293444	-0.195307	-0.195478504	4031.4	0.95	-0.214145	-0.17752	NA	NA	NA	NA	NA	NA	NA	-368.9008283
b4[2] 48	-0.08521112	-0.08531725	-0.086456837	6560.6	0.95	-0.10536	-0.0639996	NA	NA	NA	NA	NA	NA	NA	-181.4691479
b4[3] 192	0.059462793	0.05938735	0.059157671	3077.4	0.95	0.035616	0.0837993	NA	NA	NA	NA	NA	NA	NA	149.4622674
b4[4] 768	0.221041771	0.221195	0.223866561	4883.1	0.95	0.191746	0.248953	NA	NA	NA	NA	NA	NA	NA	675.9093849
"b1b2b3b4[1,1,1,1]"	0.220275101	0.220167	0.214672136	5550.4	0.95	0.172822	0.268058	NA	NA	NA	NA	NA	NA	NA	672.9206809
"b1b2b3b4[2,1,1,1]"	0.221496411	0.221582	0.224075741	5565.5	0.95	0.167953	0.27213	NA	NA	NA	NA	NA	NA	NA	677.6841961
"b1b2b3b4[1,2,1,1]"	0.088536511	0.0880639	0.085969278	6010.1	0.95	0.0363121	0.144333	NA	NA	NA	NA	NA	NA	NA	230.3340477
"b1b2b3b4[2,2,1,1]"	0.061879361	0.06177305	0.062694645	6162.2	0.95	0.00736333	0.114122	NA	NA	NA	NA	NA	NA	NA	155.9798461
"b1b2b3b4[1,1,2,1]"	0.013012994	0.01320505	0.012557645	5817.8	0.95	-0.0344333	0.0583353	NA	NA	NA	NA	NA	NA	NA	30.98244297
"b1b2b3b4[2,1,2,1]"	-0.094069651	-0.0943751	-0.097032856	4433.3	0.95	-0.13375	-0.0536336	NA	NA	NA	NA	NA	NA	NA	-198.3713986
"b1b2b3b4[1,2,2,1]"	-0.124270866	-0.1244065	-0.121027478	5842.6	0.95	-0.176925	-0.069302	NA	NA	NA	NA	NA	NA	NA	-253.4721285
"b1b2b3b4[2,2,2,1]"	-0.168650138	-0.1687075	-0.169162122	2667.6	0.95	-0.212283	-0.124895	NA	NA	NA	NA	NA	NA	NA	-327.7953124
"b1b2b3b4[1,1,3,1]"	0.065188724	0.0650114	0.061429871	5383.6	0.95	-0.0130269	0.14561	NA	NA	NA	NA	NA	NA	NA	164.964374
"b1b2b3b4[2,1,3,1]"	-0.116844137	-0.1169365	-0.11606098	5780.3	0.95	-0.172725	-0.0566765	NA	NA	NA	NA	NA	NA	NA	-240.2755582
"b1b2b3b4[1,2,3,1]"	-0.109767642	-0.11012	-0.116550384	5819.3	0.95	-0.179593	-0.0408313	NA	NA	NA	NA	NA	NA	NA	-227.4896156
"b1b2b3b4[2,2,3,1]"	-0.056786675	-0.0568148	-0.057888468	5950.6	0.95	-0.118863	0.00813971	NA	NA	NA	NA	NA	NA	NA	-124.8470049
"b1b2b3b4[1,1,1,2]"	0.188688772	0.189106	0.191714968	5952.3	0.95	0.136525	0.246487	NA	NA	NA	NA	NA	NA	NA	554.2639189
"b1b2b3b4[2,1,1,2]"	0.115743859	0.115763	0.113787214	6080.8	0.95	0.0597081	0.170066	NA	NA	NA	NA	NA	NA	NA	311.0785764
"b1b2b3b4[1,2,1,2]"	0.035266023	0.03470715	0.03297965	5921	0.95	-0.0275775	0.10227	NA	NA	NA	NA	NA	NA	NA	86.16373073
